field1,field2,field3,field4,field5,refkey1,refkey2
same,strong,210.72,difficult,5.348,little,offer
time,practice,192.78,hundred,3.369,miss,blood
every,seat,786.91,and,5.381,suggest,feeling
happy,same,282.2,night,3.285,still,member
technology,hold,584.13,again,8.816,reach,professor
off,who,906.69,eight,6.63,seem,pick
world,support,836.95,actually,1.885,enjoy,explain
effect,study,870.2,executive,5.012,impact,talk
memory,full,174.71,may,3.392,kitchen,happy
else,break,154.49,production,6.039,position,work
already,show,999.34,bad,2.598,money,general
yeah,citizen,188.4,natural,0.667,quickly,federal
stop,dinner,57.9,personal,9.546,lawyer,woman
himself,blood,473.13,as,9.813,statement,management
visit,responsibility,851.53,positive,4.601,war,soldier
score,be,639.06,material,6.034,simple,none
write,truth,957.02,away,8.098,light,base
describe,rate,537.92,vote,3.461,enjoy,short
indeed,responsibility,191.18,join,7.651,environmental,significant
early,war,874.25,through,5.142,stay,movement
month,plan,246.68,thus,3.312,size,make
certainly,chair,178.65,wonder,0.916,stand,toward
blood,give,497.56,safe,0.38,suddenly,size
maybe,may,534.58,hundred,7.865,church,help
rise,itself,329.08,place,6.978,science,fund
sure,determine,834.68,person,2.572,resource,must
couple,key,947.01,plant,3.378,best,without
radio,such,218.37,daughter,4.921,end,create
blood,provide,666.51,huge,3.174,shoulder,bad
begin,should,453.66,purpose,7.187,east,bill
board,crime,326.41,entire,3.902,way,easy
guess,still,865.49,spring,1.199,story,might
artist,top,586.21,job,1.503,father,character
tend,know,241.66,add,0.763,plant,pull
summer,never,81.5,else,1.082,visit,reach
measure,grow,129.01,nearly,2.851,friend,nation
last,chair,477.66,stay,2.932,store,fall
despite,like,438.62,middle,3.058,enjoy,message
including,however,390.89,bring,5.936,discussion,tonight
person,score,996.19,quality,5.284,everybody,compare
next,husband,691.46,me,2.932,eat,about
officer,leader,986.27,just,7.019,stand,program
economic,blood,612.05,process,6.038,debate,moment
economy,expert,59.26,house,3.986,how,really
low,economic,685.3,focus,4.332,especially,pull
drop,executive,872.44,wait,1.385,middle,including
tonight,data,671.11,member,5.464,source,give
will,water,910.85,although,2.841,arm,out
increase,head,76.44,win,2.047,before,have
south,positive,14.58,actually,9.455,after,mission
authority,beautiful,106.52,sit,6.161,cover,agency
good,leg,814.74,movement,0.82,most,candidate
use,watch,549.9,local,7.035,college,leg
eight,center,607.04,federal,2.62,force,we
focus,her,883.8,rise,6.07,summer,lead
decision,contain,769.06,quality,7.833,must,forget
quite,fish,651.67,yet,5.466,add,rock
sort,join,524.3,next,7.388,raise,thousand
service,reflect,178.23,discover,1.519,start,media
computer,man,219.37,when,2.506,pick,will
water,weight,963.26,own,8.044,in,newspaper
box,floor,526.68,join,4.619,father,than
chance,scientist,255.55,result,5.702,let,weight
girl,run,586.26,move,7.817,modern,investment
unit,husband,634.26,eye,4.877,draw,firm
four,range,725.04,weight,2.63,contain,find
family,fight,374.51,coach,5.741,investment,item
staff,write,868.44,seek,2.468,either,without
south,politics,314.39,either,0.502,education,price
argue,according,763.88,cut,0.443,open,minute
past,at,608.53,you,0.561,activity,class
cup,support,715.32,foreign,6.544,within,federal
prevent,on,563.85,herself,5.391,another,him
wrong,kind,20.99,recently,2.1,kitchen,mouth
surface,spend,542.68,short,6.699,system,exactly
education,surface,63.55,knowledge,8.789,successful,system
suddenly,factor,818.44,him,1.49,spring,make
move,respond,908.56,government,8.753,group,throughout
itself,test,153.09,high,3.611,professional,break
represent,technology,995.14,thus,0.669,peace,audience
sister,exactly,456.35,wind,6.776,dark,ahead
business,so,903.63,raise,1.192,land,of
west,author,854.87,growth,3.214,perform,become
wind,issue,648.45,measure,8.614,measure,really
customer,relationship,780.18,share,9.629,third,peace
off,inside,965.94,drive,7.155,note,us
usually,house,60.7,daughter,5.858,too,affect
somebody,truth,81.79,quickly,9.445,term,against
door,less,587.09,economic,5.843,according,kind
possible,stand,533.92,truth,5.347,foot,provide
art,age,208.23,appear,3.336,administration,natural
day,red,235.56,clear,6.1,more,kind
arrive,give,582.64,ask,4.815,bar,administration
born,agency,534.08,ten,7.691,begin,away
protect,inside,23.14,girl,3.838,capital,Mrs
sense,provide,604.91,left,9.151,walk,say
spend,hear,612.68,born,4.883,thing,subject
course,end,160.0,sign,5.894,imagine,matter
support,college,947.03,speech,8.008,grow,east
cover,hair,773.4,television,5.116,full,increase
position,open,266.25,PM,1.326,themselves,morning
company,serve,840.16,agreement,6.821,learn,position
age,world,40.24,painting,6.861,seven,opportunity
around,see,45.24,final,5.189,then,get
respond,election,62.12,mission,7.373,number,allow
every,serve,605.58,boy,2.137,book,have
two,group,725.74,exactly,6.272,agency,bad
tonight,wear,616.49,rock,1.343,author,parent
cup,product,574.94,test,6.211,card,prevent
morning,participant,860.31,note,6.433,time,best
tonight,sort,332.83,condition,2.266,shoulder,next
eight,might,90.95,money,4.296,whatever,explain
field,fact,850.04,season,7.863,car,tend
eight,civil,685.77,total,2.876,everyone,take
budget,activity,897.21,likely,1.349,reality,raise
car,moment,202.7,yes,0.277,film,let
pay,plant,886.24,yes,6.776,Republican,key
yet,candidate,939.68,whose,2.653,such,time
choose,commercial,240.91,development,1.696,moment,lose
herself,any,970.58,play,1.588,have,team
miss,president,255.82,trial,8.933,quite,per
carry,process,152.11,page,8.001,chance,put
candidate,expect,826.56,type,6.546,media,indicate
what,difficult,885.18,talk,3.581,citizen,program
success,case,320.91,deal,6.219,prevent,away
later,certainly,774.06,issue,7.445,fact,more
hotel,resource,387.03,better,8.58,feel,expert
rule,provide,11.45,remain,9.808,maybe,sort
travel,of,143.86,another,7.306,effect,bar
after,finish,931.35,group,7.683,happy,dinner
time,issue,552.09,number,1.469,these,soon
business,physical,816.03,say,8.933,a,none
prevent,pay,704.26,open,2.926,whom,economy
include,piece,311.63,him,1.344,not,reach
possible,theory,78.48,tend,5.606,American,various
participant,here,879.89,so,2.903,base,benefit
source,gun,934.72,into,2.277,kitchen,large
politics,state,645.99,until,3.498,name,bed
approach,yard,21.65,like,1.351,face,put
coach,rate,268.59,population,5.339,physical,another
strong,approach,566.51,heart,8.235,eat,join
area,even,829.57,well,7.611,condition,until
there,unit,754.83,save,0.217,amount,new
call,member,97.3,sense,3.361,news,various
leave,send,63.2,reach,4.929,phone,material
foot,might,112.66,watch,6.656,at,system
item,rise,787.83,treatment,2.152,price,maintain
focus,degree,32.44,last,8.862,not,charge
others,hand,17.04,six,9.502,tax,north
scene,as,227.89,appear,5.083,could,party
company,enter,20.98,plant,1.445,officer,level
life,analysis,189.22,policy,4.749,street,season
election,friend,742.97,get,8.609,say,wall
fish,sound,147.82,should,4.848,every,phone
three,nation,943.74,well,5.937,week,partner
yes,around,421.66,pass,8.332,window,again
together,which,681.76,man,6.851,foot,them
social,for,923.32,despite,9.776,should,start
stop,full,702.03,mission,7.664,miss,research
song,six,26.21,subject,7.257,audience,free
sign,all,859.78,reduce,8.41,success,agent
something,author,455.52,feel,7.627,member,ago
skill,ten,896.5,new,7.989,specific,town
physical,charge,477.57,ahead,7.073,agreement,they
general,station,8.11,say,6.183,new,outside
drug,down,937.59,turn,5.057,industry,wall
above,example,823.26,week,7.004,job,book
course,effort,303.88,act,2.147,watch,test
hear,former,543.09,site,8.417,raise,majority
national,so,483.7,might,9.206,claim,point
day,foreign,35.53,body,4.553,unit,point
hundred,form,792.18,now,6.097,only,another
site,look,583.15,stock,1.607,enter,play
argue,probably,190.61,wide,4.753,team,road
positive,reveal,186.03,effort,1.138,great,statement
identify,four,992.89,same,3.203,high,during
good,your,8.23,avoid,4.573,bit,other
ground,produce,538.78,type,2.054,popular,fire
look,career,934.13,across,7.321,detail,leg
change,serious,958.48,window,2.403,market,keep
meeting,idea,884.73,knowledge,5.729,Democrat,these
store,good,171.56,suggest,3.207,floor,hold
reason,but,668.57,rule,2.135,policy,ahead
source,most,374.27,family,8.164,assume,president
most,make,533.51,always,8.47,activity,say
step,above,593.38,cell,7.988,employee,left
success,mention,263.1,bed,3.136,recently,include
music,popular,755.54,else,1.551,ground,admit
everything,choose,296.19,run,8.588,traditional,skill
so,take,723.53,sort,4.659,they,bar
attention,wait,318.16,pick,9.653,these,either
car,cultural,17.76,state,8.306,home,drive
remember,less,393.53,choose,9.363,this,third
no,paper,205.32,but,4.23,way,direction
join,sign,624.41,color,5.951,help,yourself
race,page,116.31,truth,7.825,else,world
fact,first,656.08,employee,1.211,perform,do
turn,continue,555.75,hit,2.578,degree,around
million,north,572.24,cost,4.703,effort,role
school,pick,757.06,beat,3.678,finish,commercial
draw,organization,715.43,power,8.704,long,central
program,section,137.2,sense,2.394,where,fill
determine,effect,779.71,understand,5.752,use,arrive
still,thank,348.72,cup,6.403,debate,spring
tonight,among,723.37,state,7.913,happen,send
until,dream,178.2,strong,5.49,grow,cold
want,collection,967.2,bring,7.979,book,growth
short,eight,914.84,Mr,8.446,name,decade
work,might,549.58,gun,1.961,start,mean
summer,training,833.98,benefit,3.586,example,me
visit,analysis,547.99,last,2.73,police,foot
go,easy,388.95,institution,3.73,society,western
wrong,lawyer,815.5,position,1.309,become,itself
grow,nation,409.54,down,1.247,generation,outside
hear,not,31.55,important,5.611,enter,political
care,fine,828.04,high,1.444,happy,cell
minute,man,898.56,phone,3.472,should,bed
read,realize,967.53,eye,5.445,perform,save
admit,property,65.55,would,1.83,difficult,under
contain,size,747.55,every,5.572,want,course
international,tough,775.98,picture,6.872,either,economic
current,you,383.53,police,1.397,baby,clear
ground,something,936.62,similar,5.767,raise,stock
more,chair,34.63,community,7.378,safe,million
bring,must,635.76,western,1.939,and,behind
business,lose,969.84,support,7.903,ten,experience
style,free,565.01,lead,1.78,order,major
learn,talk,411.3,present,9.507,notice,begin
war,inside,622.78,drive,9.006,network,pay
become,attack,42.66,word,9.625,pattern,if
study,child,88.39,manage,3.353,city,few
top,however,903.99,interesting,0.527,claim,heart
few,bed,402.04,prepare,8.593,smile,together
determine,speak,818.14,total,3.185,me,their
look,smile,109.29,food,5.133,tell,develop
buy,impact,49.44,field,4.178,send,since
down,team,950.95,see,4.829,leg,risk
coach,degree,575.04,beautiful,6.113,food,camera
explain,eye,634.27,our,9.847,member,become
smile,money,695.14,how,2.519,character,without
truth,teacher,269.45,especially,6.125,particular,down
network,word,513.66,concern,6.091,star,lawyer
less,effect,659.93,detail,8.888,west,mean
would,six,549.67,gun,6.757,cut,hope
seat,operation,250.67,reach,8.659,true,behavior
member,owner,236.13,history,3.155,occur,decade
beyond,care,946.06,away,3.46,true,hundred
south,place,937.28,material,6.358,do,size
fund,somebody,137.61,certainly,5.174,task,adult
morning,role,165.32,practice,0.533,picture,social
especially,pass,315.58,radio,1.625,religious,kitchen
term,use,554.02,heart,0.567,task,point
marriage,unit,95.75,hold,6.888,investment,four
region,describe,906.95,could,4.926,room,form
hospital,probably,93.13,off,1.664,last,mean
by,seat,299.61,over,3.855,should,live
move,performance,70.16,firm,9.853,show,agency
front,determine,582.99,before,9.988,sometimes,spend
network,safe,593.82,reach,4.916,at,your
describe,beautiful,207.57,station,2.352,member,try
seek,together,132.99,ask,9.515,today,long
support,that,676.84,five,2.67,example,glass
economic,simple,363.17,national,8.711,his,past
raise,program,506.79,your,6.578,show,environment
often,compare,726.01,something,4.549,little,glass
summer,other,829.42,quite,8.644,I,nearly
fine,foreign,194.12,fast,9.59,south,it
civil,about,347.97,cup,8.266,week,tonight
red,main,865.48,successful,5.098,political,various
environmental,budget,314.62,challenge,6.461,maintain,option
loss,send,672.15,house,2.79,true,for
particular,much,993.91,international,9.279,firm,free
base,office,27.05,open,8.147,mother,evidence
production,paper,293.17,hope,2.279,down,allow
effort,question,917.08,strategy,0.791,east,example
protect,heart,365.6,use,2.565,music,community
use,week,2.82,analysis,8.134,surface,tax
art,reveal,293.79,defense,9.667,long,more
have,single,254.06,happy,5.329,other,Mrs
argue,identify,599.67,little,5.286,act,want
do,stuff,325.83,agree,3.489,plant,suffer
affect,wind,55.35,raise,3.084,Mrs,benefit
already,prevent,332.09,argue,7.46,federal,big
quality,still,756.68,will,2.643,past,partner
much,their,681.49,speak,4.968,west,own
plan,family,459.22,garden,2.417,would,open
table,value,547.61,candidate,2.233,here,plant
unit,might,946.73,medical,2.492,color,quality
attention,range,787.44,firm,2.039,happen,professor
everything,Mrs,193.11,in,7.723,guy,exactly
one,think,353.43,community,8.821,interview,away
hospital,by,211.88,doctor,2.21,woman,story
Congress,suffer,426.03,everybody,7.165,majority,ahead
organization,yourself,505.33,cell,1.736,station,arm
campaign,forget,696.96,officer,4.347,how,impact
worry,soldier,601.87,house,2.933,career,every
for,movement,462.77,four,2.227,career,care
despite,add,431.73,mean,8.525,number,hospital
walk,continue,901.8,send,0.402,such,increase
face,management,404.17,teach,2.569,American,ten
product,home,619.65,message,5.913,though,large
record,dark,650.89,party,2.655,real,newspaper
away,human,769.3,figure,5.483,many,bed
offer,amount,25.56,share,7.087,evening,single
really,apply,743.95,head,3.996,study,mention
quite,debate,265.97,number,8.401,local,think
add,charge,35.69,admit,5.412,both,on
or,management,327.98,customer,0.88,mind,one
I,summer,20.06,loss,2.291,those,quite
happy,meeting,44.42,lay,8.268,rock,cold
start,decide,803.9,itself,3.949,close,ability
film,arm,88.28,body,0.766,argue,question
claim,maintain,25.39,officer,6.725,free,number
whatever,ever,610.49,night,2.416,go,environment
between,recognize,652.77,write,5.546,research,since
under,opportunity,438.65,suffer,6.054,sell,budget
