refkey1,refdata1,refkey2,refdata2,refdata3,refdata4
difference,reason,exist,plan,culture,114.37
method,ago,may,country,capital,990.59
interesting,particularly,us,list,account,344.84
themselves,smile,plan,reality,to,761.38
pretty,where,company,his,discover,674.19
decade,eat,minute,option,cover,861.8
account,carry,region,investment,price,386.16
every,today,soldier,remember,investment,761.14
get,industry,break,source,event,160.46
those,happy,exactly,staff,bill,452.69
same,article,none,face,mouth,581.07
enter,mean,beautiful,should,thing,7.87
reveal,quality,still,agency,necessary,894.68
boy,company,institution,worry,treatment,448.58
little,stage,build,really,painting,554.47
oil,inside,until,bad,glass,364.86
officer,out,window,truth,dog,112.48
national,his,huge,way,eye,140.2
energy,body,science,try,because,652.01
let,morning,sing,child,have,964.79
story,change,since,role,about,224.75
young,condition,real,traditional,sure,247.24
business,community,lawyer,take,whose,444.03
lead,professor,thus,travel,relate,592.88
a,instead,scene,win,teach,960.59
none,office,to,difficult,field,715.34
bar,save,consumer,rock,evening,58.52
hand,attention,fund,could,still,715.8
popular,bit,against,improve,exist,443.22
building,big,type,easy,mind,738.68
close,Mr,drug,rate,article,86.68
only,deep,source,toward,person,667.21
sense,might,field,professional,fear,267.16
check,edge,us,guy,have,826.76
too,close,western,majority,market,999.31
task,owner,history,imagine,city,723.78
move,and,herself,add,add,278.99
together,operation,single,fall,treatment,524.28
few,shake,energy,bank,form,560.33
for,reality,join,course,they,874.78
simple,either,none,health,never,69.52
sit,card,reflect,always,discuss,837.4
might,such,true,smile,beat,240.3
Democrat,such,claim,board,idea,51.61
step,especially,page,success,various,570.32
throw,those,market,method,opportunity,370.74
painting,daughter,his,leave,doctor,969.98
wait,spring,type,move,book,578.9
wrong,main,among,quickly,many,758.52
same,raise,positive,recent,whole,321.31
clearly,style,sit,laugh,if,469.46
health,various,suggest,chair,your,994.72
culture,four,newspaper,test,record,256.7
start,some,media,must,central,811.0
research,standard,once,social,simple,617.44
else,power,artist,far,method,795.74
once,already,option,produce,second,595.86
another,maybe,sense,notice,best,556.83
environmental,also,you,local,its,386.04
main,grow,must,development,until,767.89
mother,just,believe,media,support,200.23
morning,trade,protect,nearly,strategy,632.76
push,pretty,dog,media,politics,408.81
modern,rather,could,language,become,567.21
sometimes,generation,organization,once,debate,612.78
across,movie,be,author,base,904.48
argue,daughter,same,former,fall,261.5
during,area,leader,political,order,998.66
again,difference,specific,cultural,piece,867.27
could,hair,difficult,large,effect,737.99
reduce,ball,already,few,great,89.49
majority,day,ahead,people,common,891.6
art,term,commercial,try,five,435.46
board,pass,billion,usually,follow,4.62
everyone,them,medical,meeting,name,284.81
professional,bag,so,kid,behind,743.54
range,road,it,during,trouble,435.62
early,reality,bit,world,time,430.39
table,get,stuff,including,hotel,418.55
protect,month,crime,consider,part,867.07
return,short,teacher,improve,agree,804.42
name,plan,bed,front,television,312.59
race,well,voice,trouble,consider,469.98
thank,type,establish,audience,blue,890.47
toward,parent,toward,finally,change,692.47
true,case,baby,significant,talk,928.57
production,eye,foot,you,situation,590.81
firm,small,him,follow,garden,536.52
knowledge,list,nation,past,action,291.86
pressure,floor,pull,because,arm,161.55
avoid,me,idea,television,until,442.96
yeah,save,environment,thing,word,124.34
agency,form,sound,good,option,587.48
church,benefit,close,fire,raise,891.49
painting,enjoy,price,oil,story,114.92
opportunity,each,effect,card,here,392.78
respond,conference,few,economic,again,522.67
majority,quite,likely,consumer,member,427.96
figure,than,event,yes,top,936.47
look,politics,form,shake,natural,109.53
leader,month,sure,however,cover,173.09
center,last,others,over,all,598.85
few,minute,yes,arm,mother,526.91
newspaper,option,probably,be,paper,647.05
sister,evidence,type,phone,someone,946.52
him,with,industry,let,particular,603.76
score,level,need,player,group,840.5
manager,various,anyone,name,none,19.72
say,data,wall,power,final,801.6
near,quality,seat,home,college,891.33
memory,throughout,almost,carry,small,651.21
home,give,help,her,hour,343.47
artist,beyond,policy,during,buy,256.84
perhaps,those,today,audience,increase,697.5
hear,make,race,list,responsibility,865.36
stuff,bit,south,eat,defense,907.81
boy,both,business,trip,us,934.62
sense,leave,onto,instead,religious,18.78
why,with,mother,movement,baby,161.15
smile,plan,woman,some,including,169.69
wait,pressure,compare,something,south,577.14
business,health,so,decade,agreement,196.04
suggest,may,machine,protect,purpose,611.17
want,we,shoulder,report,read,272.87
seem,stuff,year,son,police,937.64
American,tax,various,recently,approach,61.18
peace,customer,own,walk,article,29.85
level,data,subject,star,voice,760.11
customer,race,bed,guess,nearly,544.29
happen,care,wish,piece,decide,282.59
reason,cause,now,shake,health,665.23
effort,usually,better,try,hair,614.44
hope,others,technology,two,civil,398.3
room,later,probably,walk,early,885.86
network,everyone,campaign,field,control,697.29
should,up,sit,soon,public,946.04
believe,senior,fill,student,character,821.09
admit,institution,itself,real,difference,368.09
wrong,local,week,end,minute,296.92
cut,read,four,mean,interesting,49.1
end,upon,production,one,girl,296.06
amount,most,hold,painting,detail,850.98
poor,water,local,view,organization,46.1
better,least,measure,growth,be,475.24
wind,real,view,trade,pretty,580.97
white,wonder,our,various,property,550.96
much,world,strong,make,sing,290.46
tree,half,song,message,across,875.15
year,minute,try,goal,cost,893.87
prove,tonight,activity,day,boy,286.07
simply,everybody,happen,wrong,material,633.53
movie,by,PM,seven,remember,715.11
opportunity,leader,animal,right,blood,878.24
could,near,party,later,plant,116.75
suffer,reveal,nature,grow,tree,712.81
choice,always,they,ask,their,19.13
board,past,deal,series,capital,1.28
real,might,doctor,central,book,206.49
them,fine,program,response,research,821.36
option,none,benefit,during,election,72.59
accept,throw,meet,do,away,791.45
appear,pattern,general,compare,later,361.39
debate,see,card,particularly,fall,538.54
already,animal,subject,the,who,343.49
dream,summer,amount,general,could,505.64
activity,exist,employee,policy,theory,514.37
together,tree,back,my,friend,20.1
important,memory,produce,talk,your,792.78
dream,guy,quality,notice,film,67.21
low,color,dog,town,important,793.51
minute,recently,one,push,card,727.22
language,civil,feel,since,work,745.71
determine,situation,lot,floor,why,907.52
end,fight,forget,write,establish,592.4
tonight,really,ability,measure,arrive,315.03
find,ago,your,clear,they,582.53
democratic,reduce,trouble,couple,laugh,240.1
commercial,light,benefit,policy,college,580.36
natural,beyond,charge,major,policy,912.55
enjoy,degree,the,contain,well,323.94
all,direction,all,ten,participant,811.4
office,pass,society,prove,serve,328.04
drug,white,wonder,consumer,inside,310.16
after,official,similar,money,before,411.48
almost,market,cost,seat,to,821.7
college,because,leg,have,local,54.58
along,leave,my,performance,music,748.66
future,billion,trouble,detail,door,409.95
research,among,real,power,movement,60.08
no,within,state,billion,institution,336.93
meet,agency,management,many,skin,310.57
music,though,contain,into,join,675.76
at,standard,sing,decision,beat,380.18
land,end,mission,model,media,559.18
name,win,one,newspaper,interesting,756.8
model,sign,house,throw,mission,425.91
work,another,card,others,lot,267.1
as,energy,water,federal,fight,640.58
evening,take,teach,play,degree,419.89
figure,program,between,only,to,37.75
institution,race,other,subject,eye,759.99
give,land,PM,window,president,161.25
common,time,any,there,people,149.24
different,receive,provide,including,decade,856.41
nearly,take,nothing,bring,majority,555.98
food,usually,strong,born,listen,447.63
in,strategy,star,maintain,look,430.52
listen,establish,build,against,scientist,377.61
notice,option,hundred,themselves,management,904.6
campaign,prove,once,debate,that,469.26
above,south,deep,behavior,room,126.06
money,skill,general,few,range,154.34
fight,create,protect,amount,call,748.03
today,effort,true,spend,report,857.1
finish,worker,art,me,movement,243.4
appear,think,whether,big,tax,462.44
with,central,spring,administration,sport,395.78
receive,down,represent,report,ask,946.6
page,fight,top,small,cell,541.72
at,indeed,likely,some,war,567.36
cut,act,herself,list,meeting,292.68
team,sort,threat,strong,before,843.73
eight,themselves,forget,sign,young,122.41
dark,tree,someone,man,debate,195.0
move,south,bar,knowledge,teacher,832.5
perhaps,story,manage,year,beautiful,231.6
gas,black,many,exactly,add,749.42
fund,including,join,rule,statement,39.86
data,foreign,listen,discover,production,607.09
fear,manage,rise,situation,you,956.61
war,place,quality,prepare,effort,215.4
way,impact,pull,many,share,44.27
one,reach,suddenly,pick,allow,792.53
imagine,will,thing,west,when,903.18
garden,leave,hit,herself,modern,45.75
risk,cause,store,responsibility,head,389.88
improve,be,before,professor,break,108.43
animal,just,quickly,end,wrong,375.07
prevent,history,off,east,marriage,811.82
throughout,foreign,who,base,fact,18.65
open,place,yet,keep,spring,519.0
safe,animal,second,real,thousand,220.84
administration,energy,traditional,score,exist,561.89
money,company,very,onto,sort,799.94
example,section,establish,music,technology,409.02
subject,couple,through,loss,he,122.91
media,city,song,strong,ask,919.84
consider,career,need,be,join,245.23
bank,would,card,within,particular,40.65
nation,number,reality,push,defense,287.62
painting,I,put,join,both,264.88
performance,back,describe,second,agency,692.72
help,throughout,large,heart,value,360.77
condition,field,price,cold,according,277.7
method,win,no,sing,former,824.45
suggest,industry,know,current,case,59.48
four,treat,discuss,artist,while,986.04
school,career,land,message,go,394.15
state,reduce,authority,back,capital,517.34
trouble,mention,draw,today,grow,615.39
style,respond,his,someone,six,664.82
their,policy,question,student,foot,230.22
source,everything,woman,send,land,239.17
here,amount,realize,large,explain,286.31
design,card,phone,artist,another,559.81
itself,plan,enough,treat,school,302.98
phone,who,standard,hand,together,874.56
most,both,politics,town,into,998.02
top,design,base,personal,local,906.2
out,pressure,consumer,half,believe,173.09
nearly,summer,popular,military,them,600.01
foot,establish,thousand,young,former,847.22
me,detail,never,one,up,983.17
artist,beat,call,executive,today,657.89
significant,answer,seek,everyone,big,445.12
popular,establish,way,institution,professional,473.77
how,relationship,stage,rise,show,935.88
state,grow,consider,surface,arrive,21.68
business,goal,public,would,find,593.0
provide,deal,medical,name,wind,159.27
identify,interesting,finish,however,card,55.39
police,us,range,goal,above,525.9
several,place,if,carry,court,709.02
throughout,range,certainly,remain,agent,884.54
gas,long,daughter,quality,line,410.92
trouble,notice,so,its,indeed,531.72
ground,any,purpose,upon,in,479.11
group,say,weight,main,less,176.47
like,how,debate,international,condition,525.09
wrong,also,notice,air,activity,301.4
general,live,image,good,name,328.12
same,staff,society,ok,area,186.48
high,take,international,fill,event,500.04
need,billion,ever,any,sing,542.0
happy,action,million,town,eat,683.87
defense,seat,sing,human,skin,900.57
tell,responsibility,various,amount,her,928.01
similar,lead,like,radio,thing,226.58
wide,tough,visit,customer,beautiful,812.46
administration,effect,save,yourself,house,7.84
indeed,sell,remain,treat,respond,728.59
mean,yet,detail,question,artist,472.22
